RHS100x50x6.3,dxf,100,50,6.3,9.4,6.3,13.3,0.284,1689,1126,563,1.971,34.2,39.42,51.35,0.6305,19.3,25.22,30.77,1597,42.89,396.83,152.74,76.37,9.26,12.07,5.93,7.23,5.82,a,1,1,1
RHS100x50x8,dxf,100,50,8.0,12.0,8.0,16.3,0.279,2075,1384,692,2.299,33.3,45.98,61.38,0.7172,18.6,28.69,36.30,1864,48.89,487.70,187.72,93.86,10.80,14.43,6.74,8.53,6.63,a,1,1,1
RHS100x60x3.2,dxf,100,60,3.2,4.8,3.2,7.63,0.312,972,608,365,1.309,36.7,26.17,32.04,0.5883,24.6,19.61,22.43,1285,32.36,228.43,82.43,49.46,6.15,7.53,4.61,5.27,4.39,a,1,1,1
RHS100x60x4,dxf,100,60,4.0,6.0,4.0,9.41,0.310,1199,749,450,1.580,36.3,31.61,39.08,0.7052,24.3,23.51,27.27,1559,38.74,281.73,101.66,61.00,7.43,9.18,5.52,6.41,5.26,a,1,1,1
RHS100x60x5,dxf,100,60,5.0,7.5,5.0,11.6,0.307,1473,921,552,1.891,35.8,37.82,47.36,0.8359,23.8,27.86,32.89,1875,45.86,346.20,124.92,74.95,8.89,11.13,6.55,7.73,6.22,a,1,1,1
RHS100x60x6.3,dxf,100,60,6.3,9.4,6.3,14.2,0.304,1815,1134,680,2.248,35.2,44.96,57.25,0.9815,23.3,32.72,39.53,2244,53.81,426.44,153.88,92.33,10.56,13.45,7.69,9.29,7.30,a,1,1,1
RHS100x60x8,dxf,100,60,8.0,12.0,8.0,17.5,0.299,2235,1397,838,2.638,34.4,52.77,68.74,1.133,22.5,37.78,47.08,2654,62.17,525.30,189.55,113.73,12.40,16.15,8.88,11.06,8.43,a,1,1,1
RHS120x60x4,dxf,120,60,4.0,6.0,4.0,10.7,0.350,1359,906,453,2.487,42.8,41.46,51.87,0.8309,24.7,27.70,31.75,2007,47.10,319.33,122.91,61.45,9.74,12.19,6.51,7.46,6.39,a,1,1,1
RHS120x60x5,dxf,120,60,5.0,7.5,5.0,13.1,0.347,1673,1115,558,2.992,42.3,49.87,63.09,0.9876,24.3,32.92,38.39,2418,55.95,393.20,151.34,75.67,11.72,14.83,7.74,9.02,7.59,a,1,1,1
RHS120x60x6.3,dxf,120,60,6.3,9.4,6.3,16.2,0.344,2067,1378,689,3.583,41.6,59.71,76.66,1.164,23.7,38.80,46.30,2900,65.94,485.66,186.93,93.47,14.03,18.01,9.12,10.88,8.95,a,1,1,1
